TipLabel,max_distance,max_brightness,median_total_distance_from_brown,median_total_brightness,combined_color
Pomatorhinus_ruficollis,6343.170052534656,241.363115,20720.633595172716,871.980254,0.8122240002840394
Pomatorhinus_schisticeps,6647.40544859258,254.99999999999997,29178.082528359082,1087.1939541000002,0.8647792356565931
Pomatorhinus_swinhoei,6587.400123476949,252.31164600000002,24559.690143879532,1038.0138047,0.8544138113694313
Pomatostomus_halli,6394.922952674368,242.26464919999998,26523.922470946134,752.8597837,0.820929591664711
Pomatostomus_isidorei,3569.6972443083896,177.393369,16433.064090691038,816.8660398,0.34309702640270395
Pomatostomus_ruficeps,6495.43200886695,248.2860712,27229.5497998406,984.9905626999999,0.8385427485500123
Pomatostomus_superciliosus,6330.069487391349,239.83863440000002,28682.75569606689,996.0436669999999,0.8098059765456506
Pomatostomus_temporalis,6585.124961692695,251.86626259999997,33672.85705361469,1233.0570868999998,0.8539640115566753
Pooecetes_gramineus,5830.252630420309,222.5091914,22569.485957287827,944.6670012,0.7243038829797427
Poospiza_alticola,6311.380439478518,243.716233,28458.30671241134,936.7195986999999,0.8073571338776024
Poospiza_boliviana,6082.860759156205,234.374886,19172.900122895626,802.8928963999999,0.7680305142828486
Poospiza_cabanisi,6027.15967295577,232.26655059999996,20779.438340151803,883.5724296,0.7584726259735864
Poospiza_caesar,5441.909530832546,207.3791388,21179.767798423927,671.287351,0.6575958755713518
Poospiza_cinerea,6470.910508714008,250.6888122,29856.58467423627,1111.1315696000001,0.8348857559064169
Poospiza_erythrophrys,4574.726530991493,154.5405822,20901.27415339389,700.0883162,0.5054846273503351
Poospiza_hispaniolensis,6377.9151253041855,244.3813064,22807.498208009034,788.9848353,0.8184675683934081
Poospiza_hypochondria,6617.355273317848,253.78954520000002,27728.39224930214,967.2907278999999,0.8596107769095641
Poospiza_lateralis,3630.377263996672,164.1498524,19367.267534542374,780.9160387,0.3509399140453708
Poospiza_melanoleuca,6647.2254022725465,254.993,28811.737382717605,911.0545812999999,0.8647483104581385
Poospiza_nigrorufa,3424.4527619752,126.23926059999998,16512.85032436427,613.1620748999999,0.31062557551535913
Poospiza_ornata,4173.1627825129435,167.918428,17905.092639922826,719.7537573,0.4413041287687025
Poospiza_rubecula,4187.004315626951,131.0209454,19941.10214871772,601.9236000999999,0.4374921862868312
Poospiza_thoracica,6556.761514275606,251.7443054,21913.81860115369,764.5834378,0.8492543931547463
Poospiza_torquata,6412.814270450286,245.8083874,24413.828758189316,774.6593267999999,0.8244735446268535
Porphyrolaema_porphyrolaema,6553.970959282399,253.1304538,20583.478361446352,677.6936885,0.8490221963780439
Porphyrospiza_caerulescens,6225.30091774428,156.71581740000002,25665.395038393137,615.1706191,0.7787410594762921
Premnoplex_brunnescens,3525.3357625493136,176.1269218,15573.570003017012,653.4737479,0.3355531583497061
Premnoplex_tatei,6041.000932530466,231.571834,25236.8015868238,769.2791382999999,0.7606462022856546
Premnornis_guttuligera,3883.0670933601978,174.789236,17228.645091930273,773.2923372,0.3944773018342909
Prinia_atrogularis,4223.252571285516,113.02403119999998,20770.079651428066,337.1405367,0.4405097615942073
Prinia_bairdii,5504.23307618248,214.6438312,22719.840235486736,735.758976,0.6691012078448587
Prinia_buchanani,6344.881311266853,240.3031892,26019.9752987124,1129.7026947,0.8123316880492122
Prinia_burnesii,6237.326453780668,236.74422239999998,24447.950774262586,957.0039532999999,0.7939607462071933
Prinia_cinereocapilla,6009.606541645901,226.79579339999998,27559.32802087399,984.9538182,0.7546659842752275
Prinia_crinigera,6142.361814094664,230.8507436,24601.726585371158,824.0628362,0.7772854257337515
Prinia_familiaris,6355.239738647204,239.76255299999997,28899.97402886801,1013.3729122999999,0.813954907049638
Prinia_flavicans,6605.629839393604,254.205003,25509.312484830658,983.3595109999999,0.8577408483480382
Prinia_flaviventris,6267.310200751825,239.2354578,27964.363812858854,1043.7903962,0.799329979210321
Prinia_fluviatilis,6435.415080422129,242.58179639999997,26092.447380401907,1028.9637867,0.8276767702583423
Prinia_gracilis,6142.974380669184,231.29749,27369.636105605678,1109.791104,0.7774605666504864
Prinia_hodgsonii,6199.479764807067,233.78451599999997,26438.884413389213,908.1581431999999,0.7872140437063411
Prinia_hypoxantha,5734.198126560482,242.5793076,21366.90131678889,1004.8207425999999,0.7117410468469062
Prinia_inornata,6082.303562131992,229.302223,27708.13459412002,1082.4341198,0.7670997045321454
Prinia_leontica,4491.535309064255,164.0341478,23106.49784861769,768.4106609999999,0.4932998666603088
Prinia_leucopogon,6324.701602439383,246.19455340000002,24558.781916520333,674.2046605,0.8099693326010378
Prinia_maculosa,5081.616837605274,200.74754679999998,18662.691324593274,854.5313598999999,0.5969306545906293
Prinia_molleri,6644.45377340545,254.98844799999998,28090.06506380517,1170.7209017999999,0.8642893121509522
Prinia_polychroa,6250.300171132516,237.4615446,26508.53750330815,1003.1680438000001,0.7962243465555708
Prinia_robertsi,6031.297202702631,231.1504754,23193.728284233923,924.2619126,0.7589721764671031
Prinia_rufescens,6203.867595630444,236.59237679999998,29043.562034239316,1070.3373550000001,0.7884037393466036
